"AreaLabel"	"data-version"	"PM-filename"
"Area-hIP1"	6.1	"Area-hIP1_l_N10_nlin2MNI152ASYM2009C_6.1_publicP_5c0b00a1393dc8c54505db7207f1097c.nii.gz"
"Area-hIP1"	6.1	"Area-hIP1_r_N10_nlin2MNI152ASYM2009C_6.1_publicP_a411667d98b0ebc9b772565131414de1.nii.gz"
"Area-hIP2"	6.1	"Area-hIP2_l_N10_nlin2MNI152ASYM2009C_6.1_publicP_1ae25994cd5faa62178a54a4110cac1e.nii.gz"
"Area-hIP2"	6.1	"Area-hIP2_r_N10_nlin2MNI152ASYM2009C_6.1_publicP_fff0207eaabf4a9e3e019f94a7782922.nii.gz"
"Area-hIP3"	8.4	"Area-hIP3_l_N10_nlin2MNI152ASYM2009C_8.4_publicP_b125d0e714a3b435ecb517fb1af63842.nii.gz"
"Area-hIP3"	8.4	"Area-hIP3_r_N10_nlin2MNI152ASYM2009C_8.4_publicP_2d3134fd35e30da41ab4395a8f120b31.nii.gz"
"CM"	6.4	"CM_l_N10_nlin2MNI152ASYM2009C_6.4_publicP_7f0156fe3f198f6502765e260d0fc906.nii.gz"
"CM"	6.4	"CM_r_N10_nlin2MNI152ASYM2009C_6.4_publicP_eb34fb429d4eb1a6d86d0afda626e456.nii.gz"
"IF"	6.4	"IF_l_N10_nlin2MNI152ASYM2009C_6.4_publicP_7ed573bb867fd5b59b89ff3fe66f934a.nii.gz"
"IF"	6.4	"IF_r_N10_nlin2MNI152ASYM2009C_6.4_publicP_74b5ee9c4204b0512afa6ce3199a033a.nii.gz"
"LB"	6.4	"LB_l_N10_nlin2MNI152ASYM2009C_6.4_publicP_b636640a2282a29523d1e1d531b866d3.nii.gz"
"LB"	6.4	"LB_r_N10_nlin2MNI152ASYM2009C_6.4_publicP_2f610b4be8af8aff267024117f550ddf.nii.gz"
"MF"	6.4	"MF_l_N10_nlin2MNI152ASYM2009C_6.4_publicP_f7f3ec6cff03ca0a9e6556fab15e0d86.nii.gz"
"MF"	6.4	"MF_r_N10_nlin2MNI152ASYM2009C_6.4_publicP_ef50d13c143d16b3e1f06cfdd57badbc.nii.gz"
"SF"	6.4	"SF_l_N10_nlin2MNI152ASYM2009C_6.4_publicP_e0f70d4f3183532bad53cc9b7ab096dd.nii.gz"
"SF"	6.4	"SF_r_N10_nlin2MNI152ASYM2009C_6.4_publicP_7e65240d20a4c28139b3012d401c3bb0.nii.gz"
"VTM"	6.4	"VTM_l_N10_nlin2MNI152ASYM2009C_6.4_publicP_3b1ee29b8db55ee9a9bf4229bf24d656.nii.gz"
"VTM"	6.4	"VTM_r_N10_nlin2MNI152ASYM2009C_6.4_publicP_8607d965d235dfa99b8c3f060676bd14.nii.gz"
"Area-STS1"	3.1	"Area-STS1_l_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_35e08e97ab66dad36d8f02ac0c9b1dd5.nii.gz"
"Area-STS1"	3.1	"Area-STS1_r_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_e3f43aa517e0b1ccee53510ac28d73f7.nii.gz"
"Area-STS2"	3.1	"Area-STS2_l_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_9863d498fad2329d136af9b25e10a93f.nii.gz"
"Area-STS2"	3.1	"Area-STS2_r_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_7a0524e4cf9b00435a6a8171436b8100.nii.gz"
"Area-TE-1.0"	5.1	"Area-TE-1.0_l_N10_nlin2MNI152ASYM2009C_5.1_publicP_f5231652a1e4874e2b5aefb147324d99.nii.gz"
"Area-TE-1.0"	5.1	"Area-TE-1.0_r_N10_nlin2MNI152ASYM2009C_5.1_publicP_6c782e3d47b34522a2c7c86736785154.nii.gz"
"Area-TE-1.1"	5.1	"Area-TE-1.1_l_N10_nlin2MNI152ASYM2009C_5.1_publicP_581d86297fa5d38371013e6c8fd0dddf.nii.gz"
"Area-TE-1.1"	5.1	"Area-TE-1.1_r_N10_nlin2MNI152ASYM2009C_5.1_publicP_ecf57e88c589320863218aa0e19dd47f.nii.gz"
"Area-TE-1.2"	5.1	"Area-TE-1.2_l_N10_nlin2MNI152ASYM2009C_5.1_publicP_bda66ce8906251c75ef771084941709f.nii.gz"
"Area-TE-1.2"	5.1	"Area-TE-1.2_r_N10_nlin2MNI152ASYM2009C_5.1_publicP_c4445d58dc84a7f8214f0888cf46c153.nii.gz"
"Area-TE-3"	5.1	"Area-TE-3_l_N10_nlin2MNI152ASYM2009C_5.1_publicP_20343504909e5d586f6c6afb53aede2d.nii.gz"
"Area-TE-3"	5.1	"Area-TE-3_r_N10_nlin2MNI152ASYM2009C_5.1_publicP_7f5ec1e2a1b9f2ce861d5b99273925b6.nii.gz"
"Ch-123"	4.2	"Ch-123_l_N10_nlin2MNI152ASYM2009C_4.2_publicP_2ee34ae3e4b3d88ead80c2ca66cbd91a.nii.gz"
"Ch-123"	4.2	"Ch-123_r_N10_nlin2MNI152ASYM2009C_4.2_publicP_5150e72146b5a751407c4dc28ba1703b.nii.gz"
"Ch-4"	4.2	"Ch-4_l_N10_nlin2MNI152ASYM2009C_4.2_publicP_29a2440c314f295d548cbb0996fe3252.nii.gz"
"Ch-4"	4.2	"Ch-4_r_N10_nlin2MNI152ASYM2009C_4.2_publicP_aca0b12b3a3f42b5ae08fb7d1e8d43c5.nii.gz"
"Area-44"	7.4	"Area-44_l_N10_nlin2MNI152ASYM2009C_7.4_publicP_1a7ee2bd006ecd2b0afec1294b1edc4f.nii.gz"
