labels,label_descriptions,labels_2,labels_3,labels_4,labels_5
Ctx_V1_L,Region 1 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_MST_L,Region 2 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V6_L,Region 3 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V2_L,Region 4 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V3_L,Region 5 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V4_L,Region 6 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V8_L,Region 7 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_4_L,Region 8 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_3b_L,Region 9 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FEF_L,Region 10 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PEF_L,Region 11 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_55b_L,Region 12 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V3A_L,Region 13 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_RSC_L,Region 14 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_POS2_L,Region 15 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V7_L,Region 16 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IPS1_L,Region 17 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FFC_L,Region 18 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V3B_L,Region 19 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
